created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Jul 28 09:19:57 +0000 2023;1684856206404599808;"Pertemuan bisnis bersama Kamar Dagang Indonesia di Tiongkok (INACHAM) dan sejumlah pengusaha Tiongkok hari ini di Chengdu.  Indonesia berkomitmen menjaga investasi tetap stabil dan berjalan baik. Maka, saya minta para investor tidak ragu menyampaikan kendala yang mereka hadapi. https://t.co/bm7Scd8wCi";23;205;331;2380;in;366987179;1684856206404599808;jokowi;https://twitter.com/jokowi/status/1684856206404599808
Thu Jul 27 14:24:34 +0000 2023;1684570479183695873;"Saat saya dan Presiden Xi Jinping menggelar pertemuan bilateral di Hotel Jinniu, Chengdu, di ruang lain Ibu Negara menerima jamuan minum teh oleh Madam Peng Liyuan.  Madam Peng menunjukkan koleksi guci dan kain, meracik teh hijau, juga mengajak Ibu Negara melukis di mangkuk teh. https://t.co/a95Y1ZLbDg";15;147;520;3913;in;366987179;1684570479183695873;jokowi;https://twitter.com/jokowi/status/1684570479183695873
Thu Jul 27 13:43:54 +0000 2023;1684560245107064832;"Kami juga membahas beberapa isu kawasan meliputi kerja sama ASEAN-RRT hingga dukungan RRT terhadap sentralitas ASEAN untuk mewujudkan kawasan Indo-Pasifik yang damai dan sejahtera.  Usai pertemuan, kami menyaksikan penandatanganan sejumlah dokumen kerja sama oleh kedua negara. https://t.co/MTzPyCU6vn";2;16;113;978;in;366987179;1684559368401059843;jokowi;https://twitter.com/jokowi/status/1684560245107064832
Thu Jul 27 13:42:22 +0000 2023;1684559859285635074;"Dalam pertemuan tersebut, kami membahas sejumlah kerja sama antara kedua negara yang meliputi antara lain penguatan perdagangan, investasi, kerja sama kesehatan, kerja sama pembangunan Ibu Kota Nusantara, hingga kerja sama riset serta teknologi. https://t.co/IVK78xDCk8";3;17;101;884;in;366987179;1684559368401059843;jokowi;https://twitter.com/jokowi/status/1684559859285635074
Thu Jul 27 13:40:25 +0000 2023;1684559368401059843;"Dari Bandara Internasional Tianfu, saya dan Ibu Negara menuju Hotel Jinniu, Chengdu, sore ini. Di sana, Presiden Xi Jinping dan Madam Peng telah datang dan menyambut kami. Terima kasih, Yang Mulia.  Saya dan Presiden Xi Jinping kemudian menggelar pertemuan bilateral di hotel ini. https://t.co/n9OeTaC37D";25;116;534;4049;in;366987179;1684559368401059843;jokowi;https://twitter.com/jokowi/status/1684559368401059843
Thu Jul 27 11:22:13 +0000 2023;1684524588095668226;"Hujan gerimis menyambut ketibaan kami di Bandar Udara Internasional Tianfu, Kota Chengdu, Tiongkok setelah menempuh lima jam penerbangan dari Jakarta. Waktu setempat menunjukkan pukul  14.40. https://t.co/yb0PsVWaTE";15;241;493;3539;in;366987179;1684524588095668226;jokowi;https://twitter.com/jokowi/status/1684524588095668226
Thu Jul 27 05:16:53 +0000 2023;1684432648465453056;"Dengan e-katalog ini, apabila masih ada yang melompati sistem dan mengambil sesuatu dari situ, ya dia akan berhadapan dengan hukum tanpa pandang bulu. Kalau sampai ada yang tertangkap tangan, terkena OTT oleh KPK, hormati proses hukum yang berjalan.";3;36;72;385;in;366987179;1684432645265195009;jokowi;https://twitter.com/jokowi/status/1684432648465453056
Thu Jul 27 05:16:52 +0000 2023;1684432645265195009;"Pemerintah terus melakukan evaluasi dan perbaikan sistem untuk mencegah praktik korupsi, antara lain dengan pengadaan barang dan jasa di kementerian/lembaga melalui e-katalog. Sekarang yang tercantum dalam e-katalog sudah lebih dari 4 juta produk, dari sebelumnya hanya 50 ribu. https://t.co/rMrEVTAbLV";42;492;497;3091;in;366987179;1684432645265195009;jokowi;https://twitter.com/jokowi/status/1684432645265195009
Thu Jul 27 03:25:15 +0000 2023;1684404553989640193;"Di Chengdu, RRT, saya akan bertemu dengan Presiden Xi Jinping, lalu bertemu para pemimpin perusahaan Tiongkok, kemudian menghadiri pembukaan FISU World University Games untuk menyemangati kontingen kita di sana.  Mohon doa dari seluruh rakyat untuk kelancaran perjalanan ini.";0;28;63;437;in;366987179;1684404550671933441;jokowi;https://twitter.com/jokowi/status/1684404553989640193
Thu Jul 27 03:25:14 +0000 2023;1684404550671933441;"Saya meninggalkan Tanah Air pagi ini menuju Tiongkok untuk antara lain memenuhi undangan Presiden Xi Jinping.   Kunjungan ini juga bertepatan dengan 10 tahun kemitraan strategis komprehensif Indonesia dan Tiongkok, negara mitra dagang dan investasi terbesar bagi Indonesia. https://t.co/yEMFLByN1O";62;566;563;4359;in;366987179;1684404550671933441;jokowi;https://twitter.com/jokowi/status/1684404550671933441
